회사명 : (주)청명기연환경 / 2024/07/18  ~ 2025/08/25  / 장비투입현황,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
일자-No.	,출고창고명	,입고창고명	,품목명	,규격	,수량	,장비상태	,비고
2024/07/26 -3	,현장	,청명	,Serinus10i	,21-0321	,1,	,	
2024/07/26 -3	,현장	,청명	,Serinus 30 i	,20-2132	,1,	,	
2024/07/26 -3	,현장	,청명	,Serinus 10 i	,17-0127	,1,	,	
2024/07/26 -3	,현장	,청명	,Serinus30i	,20-2313	,1,	,	
2024/07/26 -3	,현장	,청명	,Serinus30i	,20-2128	,1,	,	
2024/07/26 -3	,현장	,청명	,Serinus 10 i	,21-0356	,1,	,	
2024/07/26 -3	,현장	,청명	,Serinus30i	,20-1508	,1,	,	
2024/07/26 -3	,현장	,청명	,KMS-4200	,20P565	,1,	,	
2024/07/26 -3	,현장	,청명	,KMS-4200	,20P556	,1,	,	
2024/07/26 -3	,현장	,청명	,KMS-4200	,20P558	,1,	,	
2024/07/26 -3	,현장	,청명	,KMS-4200	,22P616	,1,	,	
2024/07/26 -3	,현장	,청명	,KMS-4200	,19P426	,1,	,	
2024/07/26 -3	,현장	,청명	,KMS-4200	,18P371	,1,	,	
2024/07/26 -3	,현장	,청명	,KMS-4200	,18P356	,1,	,	
2024/07/26 -3	,현장	,청명	,KMS-4200	,19P429	,1,	,	
2024/07/26 -3	,현장	,청명	,T8400ME	,4241/TA3744	,1,	,	
2024/07/26 -3	,현장	,청명	,T8400ME	,4159/TA3671	,1,	,	
2024/07/26 -3	,현장	,청명	,T8400ME	,TA3724	,1,	,	
2024/07/26 -3	,현장	,청명	,T8400ME	,TA2911	,1,	,	
2024/07/26 -3	,현장	,청명	,BMW-5000	,1746	,1,	,	
2024/07/26 -3	,현장	,청명	,BMW-5000	,1745	,1,	,	
2024/07/26 -3	,현장	,청명	,BMW-5000	,855	,1,	,	
2024/07/26 -3	,현장	,청명	,BMW-5000	,848	,1,	,	
2024/07/26 -3	,현장	,청명	,BMW-5000	,856	,1,	,	
2024/07/26 -3	,현장	,청명	,T8400ME	,3973	,1,	,	
2024/07/26 -4	,현장	,청명	,BMW-5000	,1847	,1,	,	
2024/07/26 -4	,현장	,청명	,BMW-5000	,1314	,1,	,	
2024/07/26 -4	,현장	,청명	,BMW-5000	,854	,1,	,	
2024/07/26 -4	,현장	,청명	,BMW-5000	,1316	,1,	,	
2024/07/26 -4	,현장	,청명	,BMW-5000	,723	,1,	,	
2024/07/26 -4	,현장	,청명	,KMS-4200	,18P358	,1,	,	
2024/07/26 -4	,현장	,청명	,KMS-4200	,18P353	,1,	,	
2024/07/26 -4	,현장	,청명	,KMS-4200	,20P568	,1,	,	
2024/07/26 -4	,현장	,청명	,KMS-4200	,18P367	,1,	,	
2024/07/26 -4	,현장	,청명	,BMW-5000	,1798	,1,	,	
2024/07/26 -4	,현장	,청명	,KMS-4200	,20P564	,1,	,	
2024/07/26 -4	,현장	,청명	,PMS-204	,1501506	,1,	,	
2024/07/26 -4	,현장	,청명	,PMS-204	,1501518	,1,	,	
2024/07/26 -4	,현장	,청명	,PMS-204	,1501511	,1,	,	
2024/07/26 -4	,현장	,청명	,PMS-204	,1501520	,1,	,	
2024/07/26 -4	,현장	,청명	,KMS-4200	,18P372	,1,	,	
2024/07/26 -4	,현장	,청명	,KMS-4200	,18P354	,1,	,	
2024/07/26 -4	,현장	,청명	,KMS-4200	,19P431	,1,	,	
2024/07/26 -4	,현장	,청명	,KMS-4200	,18P361	,1,	,	
2024/07/29 -1	,현장	,청명	,Serinus 30 i	,20-2305	,1,	,	
2024/07/29 -1	,현장	,청명	,Serinus10i	,20-1393	,1,	,	
2024/07/29 -1	,현장	,청명	,Serinus10	,17-0134	,1,	,	
2024/07/29 -1	,현장	,청명	,Serinus 30 i	,21-2173	,1,	,	
2024/07/29 -1	,현장	,청명	,Serinus 10 i	,21-0353	,1,	,	
2024/07/29 -1	,현장	,청명	,Serinus 30 i	,18-0310	,1,	,	
2024/07/29 -1	,현장	,청명	,Serinus 10 i	,17-0125	,1,	,	
2024/07/29 -1	,현장	,청명	,Serinus 30 i	,18-0159	,1,	,	
2024/07/29 -1	,현장	,청명	,Serinus 10 i	,21-0322	,1,	,	
2024/07/29 -1	,현장	,청명	,Serinus30i	,20-2311	,1,	,	
2024/07/29 -1	,현장	,청명	,T8400ME	,TA2999	,1,	,	
2024/07/29 -1	,현장	,청명	,T8400ME	,TA3703	,1,	,	
2024/07/29 -1	,현장	,청명	,T8400ME	,TA3696	,1,	,	
2024/07/29 -1	,현장	,청명	,T8400ME	,4212/TA3714	,1,	,	
2024/07/29 -1	,현장	,청명	,BMW-5000	,1744	,1,	,	
2024/07/29 -1	,현장	,청명	,BMW-5000	,1794	,1,	,	
2024/07/29 -1	,현장	,청명	,BMW-5000	,853	,1,	,	
2024/07/29 -1	,현장	,청명	,BMW-5000	,1626	,1,	,	
2024/07/29 -1	,현장	,청명	,BMW-5000	,1791	,1,	,	
2024/07/29 -1	,현장	,청명	,KMS-4200	,20P569	,1,	,	
2024/07/29 -1	,현장	,청명	,KMS-4200	,19P427	,1,	,	
2024/07/29 -1	,현장	,청명	,KMS-4200	,22P615	,1,	,	
2024/07/29 -1	,현장	,청명	,KMS-4200	,22P614	,1,	,	
2024/07/29 -1	,현장	,청명	,KMS-4200	,18P368	,1,	,	
2024/07/29 -1	,현장	,청명	,KMS-4200	,18P369	,1,	,	
2024/07/29 -1	,현장	,청명	,KMS-4200	,18P375	,1,	,	
2024/07/29 -2	,현장	,청명	,KMS-4200	,20P557	,1,	,	
2024/07/29 -2	,현장	,청명	,T8400ME	,TA3268	,1,	,	
2024/07/29 -2	,현장	,청명	,T8400ME	,4176/TA3688	,1,	,	
2024/07/29 -2	,현장	,청명	,T8400ME	,4238/TA3741	,1,	,	
2024/07/29 -2	,현장	,청명	,KMS-4200	,18P355	,1,	,	
2024/07/29 -2	,현장	,청명	,KMS-4200	,18P366	,1,	,	
2024/07/29 -2	,현장	,청명	,KMS-4200	,22P617	,1,	,	
2024/07/29 -2	,현장	,청명	,KMS-4200	,19P404	,1,	,	
2024/07/29 -2	,현장	,청명	,PMS-204	,1904005	,1,	,	
2024/07/29 -2	,현장	,청명	,PMS-204	,1708791	,1,	,	
2024/07/29 -2	,현장	,청명	,PMS-204	,1501517	,1,	,	
2024/07/29 -2	,현장	,청명	,BMW-5000	,719	,1,	,	
2024/07/29 -2	,현장	,청명	,BMW-5000	,849	,1,	,	
2024/07/29 -2	,현장	,청명	,BMW-5000	,1315	,1,	,	
2024/07/29 -2	,현장	,청명	,BMW-5000	,1318	,1,	,	
2024/07/29 -2	,현장	,청명	,49i	,CM20477383	,1,	,	
2024/07/29 -2	,현장	,청명	,49i	,1182050011	,1,	,	
2024/07/29 -2	,현장	,청명	,49i	,CM19420293	,1,	,	
2024/07/29 -2	,현장	,청명	,Serinus10i	,21-0524	,1,	,	
2024/07/29 -2	,현장	,청명	,MEZUS-310	,K1614026A	,1,	,	
2024/07/29 -2	,현장	,청명	,MEZUS-310	,K1614025A	,1,	,	
2024/07/29 -2	,현장	,청명	,Serinus 30 i	,18-0328	,1,	,	
2024/07/29 -2	,현장	,청명	,Serinus30i	,20-1502	,1,	,	
